listing_id,candidate_event_id,label,split,str_lev_ratio_raw,str_lev_ratio_norm,str_jaro_winkler_raw,str_jaro_winkler_norm,str_token_jaccard_raw,str_token_jaccard_norm,str_token_sort_ratio_raw,str_token_sort_ratio_norm,date_missing,date_year_inferred,date_day_diff,date_exact_match,date_same_weekday,venue_missing,venue_exact_match,venue_alias_match,venue_fuzzy_score,venue_geo_distance_km,venue_geo_distance_missing,source_official_feed,source_partner_feed_a,source_scraped_feed_b,source_scraped_feed_c
L000000,nba_401810548,1,train,0.9696969696969697,1.0,0.9632352941176471,1.0,1.0,1.0,0.9696969696969697,1.0,0,0,0,1,1,0,1,0,1.0,0.0,0,0,0,0,1
L000000,nba_401810564,0,train,0.6896551724137931,0.7857142857142857,0.6571895424836601,0.716540404040404,0.3333333333333333,0.3333333333333333,0.6896551724137931,0.7857142857142857,0,0,2,0,0,0,1,0,1.0,0.0,0,0,0,0,1
L000000,nba_401810524,0,train,0.6,0.6206896551724138,0.6403905691831387,0.6219729344729344,0.3333333333333333,0.3333333333333333,0.5333333333333333,0.5517241379310345,0,0,3,0,0,0,1,0,1.0,0.0,0,0,0,0,1
L000000,nba_401810565,0,train,0.6842105263157895,0.7027027027027026,0.8766106442577031,0.8899140211640211,0.2857142857142857,0.2857142857142857,0.6578947368421053,0.6486486486486487,0,0,2,0,0,0,0,0,0.5882352941176471,1619.415,0,0,0,0,1
L000000,nba_401810526,0,train,0.6666666666666667,0.6857142857142857,0.8743986663491308,0.8839574898785426,0.2857142857142857,0.2857142857142857,0.6666666666666667,0.657142857142857,0,0,2,0,0,0,0,0,0.34285714285714286,2809.788,0,0,0,0,1
L000000,nba_401810522,0,train,0.39473684210526316,0.40540540540540543,0.688868139848532,0.669490231990232,0.0,0.0,0.39473684210526316,0.40540540540540543,0,0,3,0,0,0,0,0,0.5,1352.053,0,0,0,0,1
L000000,nba_401810547,0,train,0.31034482758620685,0.3214285714285714,0.5665849673202614,0.5868055555555555,0.0,0.0,0.27586206896551724,0.3214285714285714,0,0,1,0,0,0,0,0,0.5555555555555556,3183.931,0,0,0,0,1
L000000,nba_401810541,0,train,0.3589743589743589,0.368421052631579,0.6115567439096852,0.6262626262626263,0.0,0.0,0.33333333333333337,0.34210526315789463,0,0,1,0,0,0,0,0,0.6666666666666667,2056.902,0,0,0,0,1
L000000,nba_401810560,0,train,0.31034482758620685,0.3214285714285714,0.5665849673202614,0.5868055555555555,0.0,0.0,0.27586206896551724,0.3214285714285714,0,0,1,0,0,0,0,0,0.5555555555555556,3183.931,0,0,0,0,1
L000000,nba_401810533,0,train,0.36923076923076925,0.38095238095238093,0.5651486401012017,0.5847520908004779,0.0,0.0,0.27692307692307694,0.2857142857142857,0,0,2,0,0,0,0,0,0.5142857142857142,814.375,0,0,0,0,1
L000000,nba_401810567,0,train,0.41666666666666663,0.45714285714285713,0.651062951496388,0.6783906882591092,0.0,0.0,0.4722222222222222,0.48571428571428577,0,0,2,0,0,0,0,0,0.5263157894736843,2862.751,0,0,0,0,1
L000000,nba_401810542,0,train,0.38095238095238093,0.39344262295081966,0.5124601564763837,0.5172413793103449,0.0,0.0,0.3492063492063492,0.39344262295081966,0,0,0,1,1,0,0,0,0.48484848484848486,2964.42,0,0,0,0,1
L000000,nba_401850920,0,train,0.31034482758620685,0.3214285714285714,0.5665849673202614,0.5868055555555555,0.0,0.0,0.27586206896551724,0.3214285714285714,0,0,1,0,0,0,0,0,0.5,2332.81,0,0,0,0,1
L000000,nba_401810525,0,train,0.36363636363636365,0.45283018867924535,0.5025676937441643,0.5721230158730158,0.0,0.0,0.36363636363636365,0.41509433962264153,0,0,3,0,0,0,0,0,0.5142857142857142,814.375,0,0,0,0,1
L000000,nba_401810551,0,train,0.4225352112676056,0.46376811594202894,0.5855477326065561,0.6051801801801803,0.0,0.0,0.3661971830985915,0.3768115942028986,0,0,0,1,1,0,0,0,0.5142857142857142,1048.343,0,0,0,0,1
L000000,nba_401810549,0,train,0.2807017543859649,0.32727272727272727,0.4793846392311865,0.5211352657004831,0.0,0.0,0.24561403508771928,0.2545454545454545,0,0,0,1,1,0,0,0,0.5142857142857142,814.375,0,0,0,0,1
L000000,nba_401810558,0,train,0.49230769230769234,0.5079365079365079,0.6011019008622125,0.6350326420890936,0.0,0.0,0.4307692307692308,0.4444444444444444,0,0,2,0,0,0,0,0,0.55,1367.177,0,0,0,0,1
L000000,nba_401810556,0,train,0.4242424242424242,0.46875,0.5306372549019608,0.6553030303030303,0.0,0.0,0.303030303030303,0.34375,0,0,1,0,0,0,0,0,0.4545454545454546,1632.907,0,0,0,0,1
L000000,nba_401810546,0,train,0.36111111111111116,0.4,0.5646960538601405,0.6410818713450293,0.0,0.0,0.4444444444444444,0.45714285714285713,0,0,0,1,1,0,0,0,0.5581395348837209,2112.197,0,0,0,0,1
L000000,nba_401810532,0,train,0.3835616438356164,0.3661971830985915,0.56701860231272,0.6356837606837606,0.0,0.0,0.3561643835616438,0.3380281690140845,0,0,2,0,0,0,0,0,0.5106382978723405,1421.842,0,0,0,0,1
L000001,nba_401810548,1,train,0.23809523809523814,0.4285714285714286,0.4847222222222222,0.7633333333333333,0.0,0.0,0.23809523809523814,0.4285714285714286,0,1,0,1,1,0,1,0,1.0,0.0,0,0,1,0,0
L000001,nba_401810609,0,train,0.19512195121951215,0.3902439024390244,0.5096774193548387,0.5610215053763441,0.0,0.0,0.19512195121951215,0.3902439024390244,0,1,8,0,0,0,1,0,1.0,0.0,0,0,1,0,0
L000001,nba_401810564,0,train,0.2941176470588235,0.5294117647058824,0.5611111111111111,0.6472222222222221,0.0,0.0,0.3529411764705882,0.5294117647058824,0,1,2,0,0,0,1,0,1.0,0.0,0,0,1,0,0
L000001,nba_401810891,0,train,0.21052631578947367,0.3157894736842105,0.5142857142857143,0.5547619047619047,0.0,0.0,0.1578947368421053,0.26315789473684215,0,1,51,0,0,0,1,0,1.0,0.0,0,0,1,0,0
L000001,nba_401810783,0,train,0.25,0.44999999999999996,0.5555555555555555,0.6222222222222222,0.0,0.0,0.25,0.44999999999999996,0,1,37,0,0,0,1,0,1.0,0.0,0,0,1,0,0
L000001,nba_401810524,0,train,0.2222222222222222,0.4444444444444444,0.517948717948718,0.5775641025641026,0.0,0.0,0.2222222222222222,0.4444444444444444,0,1,3,0,0,0,1,0,1.0,0.0,0,0,1,0,0
L000001,nba_401810628,0,train,0.20512820512820518,0.41025641025641024,0.5126436781609195,0.5669540229885057,0.0,0.0,0.20512820512820518,0.41025641025641024,0,1,11,0,0,0,1,0,1.0,0.0,0,0,1,0,0
L000001,nba_401810905,0,train,0.2162162162162162,0.3783783783783784,0.49506172839506174,0.6154320987654321,0.0,0.0,0.2162162162162162,0.3783783783783784,0,1,53,0,0,0,1,0,1.0,0.0,0,0,1,0,0
L000001,nba_401811019,0,train,0.20512820512820518,0.41025641025641024,0.5126436781609195,0.5669540229885057,0.0,0.0,0.20512820512820518,0.41025641025641024,0,1,68,0,0,0,1,0,1.0,0.0,0,0,1,0,0
L000001,nba_401810338,0,train,0.20512820512820518,0.41025641025641024,0.5126436781609195,0.5669540229885057,0.0,0.0,0.20512820512820518,0.3076923076923077,0,1,28,0,1,0,1,0,1.0,0.0,0,0,1,0,0
L000001,nba_401810145,0,train,0.21052631578947367,0.42105263157894735,0.430952380952381,0.5547619047619047,0.0,0.0,0.21052631578947367,0.3157894736842105,0,1,67,0,0,0,1,0,1.0,0.0,0,0,1,0,0
L000001,nba_401810410,0,train,0.19512195121951215,0.29268292682926833,0.5096774193548387,0.5466973886328725,0.0,0.0,0.14634146341463417,0.24390243902439024,0,1,19,0,0,0,1,0,1.0,0.0,0,0,1,0,0
L000001,nba_401810510,0,train,0.24242424242424243,0.4242424242424242,0.5246376811594203,0.5728778467908903,0.0,0.0,0.24242424242424243,0.4242424242424242,0,1,5,0,0,0,1,0,1.0,0.0,0,0,1,0,0
L000001,nba_401810081,0,train,0.2162162162162162,0.4324324324324324,0.5160493827160494,0.5578483245149912,0.0,0.0,0.2162162162162162,0.4324324324324324,0,1,78,0,0,0,1,0,1.0,0.0,0,0,1,0,0
L000001,nba_401810886,0,train,0.21052631578947367,0.42105263157894735,0.5142857142857143,0.5702380952380953,0.0,0.0,0.21052631578947367,0.4736842105263158,0,1,50,0,0,0,1,0,1.0,0.0,0,0,1,0,0
L000001,nba_401809941,0,train,0.20512820512820518,0.41025641025641024,0.5126436781609195,0.5669540229885057,0.0,0.0,0.20512820512820518,0.3076923076923077,0,1,100,0,0,0,1,0,1.0,0.0,0,0,1,0,0
L000001,nba_401810154,0,train,0.2162162162162162,0.3783783783783784,0.49506172839506174,0.6154320987654321,0.0,0.0,0.2162162162162162,0.3783783783783784,0,1,62,0,0,0,1,0,1.0,0.0,0,0,1,0,0
L000001,nba_401809795,0,train,0.1777777777777778,0.3555555555555555,0.5047619047619047,0.5380952380952381,0.0,0.0,0.2222222222222222,0.3555555555555555,0,1,70,0,1,0,1,0,1.0,0.0,0,0,1,0,0
L000001,nba_401810936,0,train,0.25,0.375,0.5272727272727272,0.5774891774891775,0.0,0.0,0.25,0.375,0,1,57,0,0,0,1,0,1.0,0.0,0,0,1,0,0
L000001,nba_401810760,0,train,0.2777777777777778,0.4444444444444444,0.5641025641025641,0.5775641025641026,0.0,0.0,0.2777777777777778,0.38888888888888884,0,1,34,0,0,0,1,0,1.0,0.0,0,0,1,0,0
L000002,nba_401810548,1,train,0.9552238805970148,0.9552238805970148,0.9453571428571429,0.9453571428571429,0.8,0.8,0.9552238805970148,0.9552238805970148,0,1,0,1,1,0,1,0,1.0,0.0,0,0,1,0,0
L000002,nba_401810320,0,train,0.9552238805970148,0.9552238805970148,0.9453571428571429,0.9453571428571429,0.8,0.8,0.9552238805970148,0.9552238805970148,0,1,31,0,0,0,0,0,0.34285714285714286,2809.788,0,0,1,0,0
L000002,nba_401810564,0,train,0.6779661016949151,0.7457627118644068,0.6349206349206349,0.6968975468975468,0.2857142857142857,0.2857142857142857,0.6779661016949151,0.7457627118644068,0,1,2,0,0,0,1,0,1.0,0.0,0,0,1,0,0
L000002,nba_401810609,0,train,0.6363636363636364,0.6363636363636364,0.6533026113671275,0.6949692780337942,0.2857142857142857,0.2857142857142857,0.6363636363636364,0.6363636363636364,0,1,8,0,0,0,1,0,1.0,0.0,0,0,1,0,0
